x,y
42.5,38.9
77.0,98.4
63.9,81.3
55.9,84.5
29.4,37.5
29.4,20.0
23.5,28.5
72.0,94.1
56.1,67.3
62.5,89.8
21.2,32.2
78.2,116.6
69.9,86.5
32.7,36.0
30.9,39.7
31.0,46.3
38.3,42.6
51.5,65.4
45.9,47.8
37.5,34.2
56.7,83.2
28.4,46.1
37.5,45.6
42.0,63.0
47.4,64.7
67.1,84.2
32.0,41.6
50.9,81.7
55.5,73.0
22.8,39.8
56.5,48.5
30.2,43.6
23.9,26.7
76.9,102.4
77.9,107.8
68.5,72.9
38.3,45.2
25.9,32.4
61.1,96.4
46.4,54.4
27.3,22.9
49.7,59.5
22.1,32.2
74.6,105.1
35.5,38.0
59.8,84.8
38.7,49.0
51.2,76.5
52.8,62.2
31.1,33.4
78.2,103.3
66.5,75.1
76.4,107.5
73.7,103.1
55.9,73.9
75.3,100.6
25.3,20.0
31.8,33.4
22.7,20.6
39.5,41.3
