"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","לחות יחסית (%)"
"כפר גלעדי 10/2007-07/2025","01-09-2020 00:00","26.5","87"
"מרום גולן פיכמן 01/1998-07/2025","01-09-2020 00:00","25","67"
"כפר בלום 07/2005-07/2025","01-09-2020 00:00","29.2","77"
"כפר גלעדי 10/2007-07/2025","01-09-2020 03:00","25.2","92"
"מרום גולן פיכמן 01/1998-07/2025","01-09-2020 03:00","21.8","48"
"כפר בלום 07/2005-07/2025","01-09-2020 03:00","27.5","82"
"כפר גלעדי 10/2007-07/2025","01-09-2020 06:00","24.9","92"
"מרום גולן פיכמן 01/1998-07/2025","01-09-2020 06:00","19.8","47"
"כפר בלום 07/2005-07/2025","01-09-2020 06:00","27.5","82"
"כפר גלעדי 10/2007-07/2025","01-09-2020 09:00","27.8","78"
"מרום גולן פיכמן 01/1998-07/2025","01-09-2020 09:00","30.9","28"
"כפר בלום 07/2005-07/2025","01-09-2020 09:00","29.3","71"
"כפר גלעדי 10/2007-07/2025","01-09-2020 12:00","33.3","53"
"מרום גולן פיכמן 01/1998-07/2025","01-09-2020 12:00","33.3","45"
"כפר בלום 07/2005-07/2025","01-09-2020 12:00","34.9","48"
"כפר גלעדי 10/2007-07/2025","01-09-2020 15:00","32.7","62"
"מרום גולן פיכמן 01/1998-07/2025","01-09-2020 15:00","34.1","38"
"כפר בלום 07/2005-07/2025","01-09-2020 15:00","39.1","44"
"כפר גלעדי 10/2007-07/2025","01-09-2020 18:00","28.3","72"
"מרום גולן פיכמן 01/1998-07/2025","01-09-2020 18:00","26.1","78"
"כפר בלום 07/2005-07/2025","01-09-2020 18:00","33.5","57"
"כפר גלעדי 10/2007-07/2025","01-09-2020 21:00","27.1","62"
"מרום גולן פיכמן 01/1998-07/2025","01-09-2020 21:00","24.4","60"
"כפר בלום 07/2005-07/2025","01-09-2020 21:00","29.3","61"
"כפר גלעדי 10/2007-07/2025","02-09-2020 00:00","26.2","68"
"מרום גולן פיכמן 01/1998-07/2025","02-09-2020 00:00","23.9","51"
"כפר בלום 07/2005-07/2025","02-09-2020 00:00","27.8","72"
"כפר גלעדי 10/2007-07/2025","02-09-2020 03:00","25.4","71"
"מרום גולן פיכמן 01/1998-07/2025","02-09-2020 03:00","22.8","50"
"כפר בלום 07/2005-07/2025","02-09-2020 03:00","26.3","77"
"כפר גלעדי 10/2007-07/2025","02-09-2020 06:00","23.6","88"
"מרום גולן פיכמן 01/1998-07/2025","02-09-2020 06:00","22","44"
"כפר בלום 07/2005-07/2025","02-09-2020 06:00","24.6","79"
"כפר גלעדי 10/2007-07/2025","02-09-2020 09:00","28.2","68"
