"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","לחות יחסית (%)"
"שדה בוקר 01/2004-07/2025","01-09-2020 00:00","24.5","84"
"עבדת 10/2008-07/2025","01-09-2020 00:00","23.9","88"
"שדה בוקר 01/2004-07/2025","01-09-2020 03:00","23.2","90"
"עבדת 10/2008-07/2025","01-09-2020 03:00","22.9","91"
"שדה בוקר 01/2004-07/2025","01-09-2020 06:00","23","88"
"עבדת 10/2008-07/2025","01-09-2020 06:00","22.4","96"
"שדה בוקר 01/2004-07/2025","01-09-2020 09:00","25.4","74"
"עבדת 10/2008-07/2025","01-09-2020 09:00","24.9","80"
"שדה בוקר 01/2004-07/2025","01-09-2020 12:00","30.2","52"
"עבדת 10/2008-07/2025","01-09-2020 12:00","30.1","53"
"שדה בוקר 01/2004-07/2025","01-09-2020 15:00","33.4","43"
"עבדת 10/2008-07/2025","01-09-2020 15:00","32.6","45"
"שדה בוקר 01/2004-07/2025","01-09-2020 18:00","30.4","48"
"עבדת 10/2008-07/2025","01-09-2020 18:00","29.8","49"
"שדה בוקר 01/2004-07/2025","01-09-2020 21:00","25.4","77"
"עבדת 10/2008-07/2025","01-09-2020 21:00","24.8","81"
"שדה בוקר 01/2004-07/2025","02-09-2020 00:00","23.8","89"
"עבדת 10/2008-07/2025","02-09-2020 00:00","22.9","95"
"שדה בוקר 01/2004-07/2025","02-09-2020 03:00","22.9","91"
"עבדת 10/2008-07/2025","02-09-2020 03:00","21.1","95"
"שדה בוקר 01/2004-07/2025","02-09-2020 06:00","21.6","94"
"עבדת 10/2008-07/2025","02-09-2020 06:00","19.5","85"
"שדה בוקר 01/2004-07/2025","02-09-2020 09:00","24.6","76"
"עבדת 10/2008-07/2025","02-09-2020 09:00","26.1","49"
"שדה בוקר 01/2004-07/2025","02-09-2020 12:00","31.7","28"
"עבדת 10/2008-07/2025","02-09-2020 12:00","31.6","27"
"שדה בוקר 01/2004-07/2025","02-09-2020 15:00","34.7","26"
"עבדת 10/2008-07/2025","02-09-2020 15:00","34.1","27"
"שדה בוקר 01/2004-07/2025","02-09-2020 18:00","30.9","43"
"עבדת 10/2008-07/2025","02-09-2020 18:00","30.3","44"
"שדה בוקר 01/2004-07/2025","02-09-2020 21:00","25.9","64"
"עבדת 10/2008-07/2025","02-09-2020 21:00","25.4","59"
"שדה בוקר 01/2004-07/2025","03-09-2020 00:00","24","80"
"עבדת 10/2008-07/2025","03-09-2020 00:00","23.7","61"
"שדה בוקר 01/2004-07/2025","03-09-2020 03:00","22.4","89"
"עבדת 10/2008-07/2025","03-09-2020 03:00","22","63"
"שדה בוקר 01/2004-07/2025","03-09-2020 06:00","20.7","91"
"עבדת 10/2008-07/2025","03-09-2020 06:00","20.2","66"
"שדה בוקר 01/2004-07/2025","03-09-2020 09:00","26.2","60"
"עבדת 10/2008-07/2025","03-09-2020 09:00","25.3","67"
"שדה בוקר 01/2004-07/2025","03-09-2020 12:00","32.9","41"
"עבדת 10/2008-07/2025","03-09-2020 12:00","32.5","41"
"שדה בוקר 01/2004-07/2025","03-09-2020 15:00","38","29"
"עבדת 10/2008-07/2025","03-09-2020 15:00","37.6","28"
"שדה בוקר 01/2004-07/2025","03-09-2020 18:00","32.1","60"
"עבדת 10/2008-07/2025","03-09-2020 18:00","32.2","59"
"שדה בוקר 01/2004-07/2025","03-09-2020 21:00","27.1","84"
"עבדת 10/2008-07/2025","03-09-2020 21:00","25.8","96"
"שדה בוקר 01/2004-07/2025","04-09-2020 00:00","25.9","88"
"עבדת 10/2008-07/2025","04-09-2020 00:00","24.9","99"
"שדה בוקר 01/2004-07/2025","04-09-2020 03:00","25.2","89"
"עבדת 10/2008-07/2025","04-09-2020 03:00","23.6","100"
"שדה בוקר 01/2004-07/2025","04-09-2020 06:00","23.9","91"
"עבדת 10/2008-07/2025","04-09-2020 06:00","22.6","100"
"שדה בוקר 01/2004-07/2025","04-09-2020 09:00","29.5","60"
"עבדת 10/2008-07/2025","04-09-2020 09:00","32.7","40"
"שדה בוקר 01/2004-07/2025","04-09-2020 12:00","37.4","28"
"עבדת 10/2008-07/2025","04-09-2020 12:00","38.7","19"
"שדה בוקר 01/2004-07/2025","04-09-2020 15:00","42.6","8"
"עבדת 10/2008-07/2025","04-09-2020 15:00","42.5","11"
"שדה בוקר 01/2004-07/2025","04-09-2020 18:00","37.2","44"
"עבדת 10/2008-07/2025","04-09-2020 18:00","36.3","47"
"שדה בוקר 01/2004-07/2025","04-09-2020 21:00","29.7","73"
"עבדת 10/2008-07/2025","04-09-2020 21:00","30.4","68"
"שדה בוקר 01/2004-07/2025","05-09-2020 00:00","26.7","86"
"עבדת 10/2008-07/2025","05-09-2020 00:00","26.8","78"
"שדה בוקר 01/2004-07/2025","05-09-2020 03:00","24.7","92"
"עבדת 10/2008-07/2025","05-09-2020 03:00","23.6","100"
"שדה בוקר 01/2004-07/2025","05-09-2020 06:00","24.6","88"
"עבדת 10/2008-07/2025","05-09-2020 06:00","23.7","100"
"שדה בוקר 01/2004-07/2025","05-09-2020 09:00","26.2","80"
"עבדת 10/2008-07/2025","05-09-2020 09:00","26.1","88"
"שדה בוקר 01/2004-07/2025","05-09-2020 12:00","33.4","48"
"עבדת 10/2008-07/2025","05-09-2020 12:00","33.9","45"
"שדה בוקר 01/2004-07/2025","05-09-2020 15:00","37.6","32"
"עבדת 10/2008-07/2025","05-09-2020 15:00","37","35"
"שדה בוקר 01/2004-07/2025","05-09-2020 18:00","33.7","56"
"עבדת 10/2008-07/2025","05-09-2020 18:00","33.8","56"
"שדה בוקר 01/2004-07/2025","05-09-2020 21:00","26.9","78"
"עבדת 10/2008-07/2025","05-09-2020 21:00","26.3","88"
"שדה בוקר 01/2004-07/2025","06-09-2020 00:00","25.6","86"
"עבדת 10/2008-07/2025","06-09-2020 00:00","24.1","94"
"שדה בוקר 01/2004-07/2025","06-09-2020 03:00","24.3","87"
"עבדת 10/2008-07/2025","06-09-2020 03:00","22.9","100"
"שדה בוקר 01/2004-07/2025","06-09-2020 06:00","23.1","91"
"עבדת 10/2008-07/2025","06-09-2020 06:00","21.2","100"
"שדה בוקר 01/2004-07/2025","06-09-2020 09:00","25.4","77"
"עבדת 10/2008-07/2025","06-09-2020 09:00","23.9","93"
"שדה בוקר 01/2004-07/2025","06-09-2020 12:00","33.1","44"
"עבדת 10/2008-07/2025","06-09-2020 12:00","32.7","44"
"שדה בוקר 01/2004-07/2025","06-09-2020 15:00","35.6","34"
"עבדת 10/2008-07/2025","06-09-2020 15:00","35.5","33"
"שדה בוקר 01/2004-07/2025","06-09-2020 18:00","30.8","60"
"עבדת 10/2008-07/2025","06-09-2020 18:00","30.3","65"
"שדה בוקר 01/2004-07/2025","06-09-2020 21:00","26.2","68"
